release_id,11/26/2023,11/29/2023,2023-12-06,2023-12-10
28224904,7.0,,6.44,6.51
23101979,11.0,,10.12,10.23
12735208,30.0,,27.6,27.9
13855327,9.89,,9.0,
1412631,5.99,,5.51,5.57
16101542,12.0,,11.04,11.16
28476079,,,,
15551465,19.78,,18.0,
27295887,,,,
13483456,15.99,,14.71,14.87
19271368,23.99,,22.07,22.31
23927387,,,,
15663123,22.0,,20.24,20.46
15331633,22.0,,20.24,20.46
27784422,13.19,,12.0,
3631225,3.8,,3.49,
21620947,40.0,,36.8,37.2
4710930,3.0,,2.76,2.79
4491372,37.97,,34.94,34.88
28226179,10.0,,9.2,9.3
24405602,,,,
24293543,27.47,,25.0,
3427266,16.46,,17.47,17.66
24554213,15.0,,13.8,13.95
3545498,11.03,,10.15,10.26
15767457,18.0,,20.19,23.25
24958474,,,,29.0
21846487,30.0,,41.4,41.85
24663209,,,,
23413859,,,,
14691829,22.0,,16.55,16.73
2512279,9.5,,8.74,8.84
22426726,9.0,,12.85,
19527991,5.15,,4.74,4.79
14760208,13.41,12.74,11.72,11.85
15514240,18.0,,17.02,17.21
6158352,19.07,,17.55,17.74
18004795,13.19,,12.0,
13563322,23.0,,21.16,21.39
14293235,25.0,,23.0,23.25
2030462,8.0,,7.36,7.44
16366020,29.26,29.09,21.16,21.39
17539465,8.79,,6.44,6.51
15517682,12.75,,9.2,9.3
21148975,10.0,,,
19916353,36.76,,33.82,34.19
21064909,43.99,,40.47,40.91
26352458,35.0,,32.2,32.55
25429897,,,,
2373573,16.9,,15.55,15.72
1242694,13.99,14.99,9.2,9.3
14232637,98.79,,89.9,79.9
1877244,3.99,,3.67,3.71
14697308,,,,
4792598,10.99,,10.0,
14799251,,,,
21064408,,,,
24125159,,,,
25809013,,,,
25363804,,,,
26579276,,,,
23871236,14.12,,12.9,
21397783,10.0,,9.2,9.3
19518175,10.0,,9.2,9.3
19484788,10.0,,9.2,9.3
19484788,10.0,,9.2,9.3
7299969,,,,
20147620,17.05,,15.86,15.85
24556265,11.39,,,
20394643,17.99,,16.55,15.8
16431690,25.0,,23.0,23.25
23339513,6.33,,5.82,7.79
26599118,,,,
24020723,32.0,,27.6,27.9
26039194,11.93,,10.98,11.09
19320934,,,,
27041202,,,,
28180315,,,,
27170820,29.99,,27.59,27.89
14728052,9.49,,8.73,8.72
14529639,18.99,,18.39,18.59
10773910,19.78,,18.0,
19248652,33.96,,30.9,
19168087,5.0,,4.6,4.65
27061842,31.87,29.99,24.83,25.1
24437369,,,,
25359994,7.59,,6.99,6.98
14333106,67.2,,61.15,
19189816,6.0,,5.52,5.58
17170258,5.0,,4.6,4.65
12155904,15.0,,13.8,13.95
2619437,49.9,19.0,17.48,17.67
7467684,2.5,,2.3,2.33
21426001,,,,
760379,24.99,,22.99,23.24
700865,13.19,,12.0,
17559457,15.0,,13.8,13.95
15990303,20.0,,18.4,18.6
16101857,23.42,23.59,21.93,22.46
2500279,16.0,,14.72,14.88
