,release_id,img_url,paid
0,28224904,https://i.discogs.com/hJK4uMyYWzeiTDFx4r0PetEXUQFIf3HYU9LV1TfiUOY/rs:fit/g:sm/q:90/h:337/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4MjI0/OTA0LTE2OTQzNjQw/MjktMzUwMC5qcGVn.jpeg,
1,23101979,https://i.discogs.com/25mZnTlJrNZTva49FYbOYNUV1KE60kgtBIgbrVnOg1A/rs:fit/g:sm/q:90/h:952/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTAx/OTc5LTE2NTQyMTIx/NjctMTg5Ny5qcGVn.jpeg,
2,12735208,https://i.discogs.com/LKOghplr125g86Y-3bTvTCE796cAomedTGY6MLuIyHQ/rs:fit/g:sm/q:90/h:536/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNzM1/MjA4LTE1NTM5ODk1/MjMtMTE2Ni5qcGVn.jpeg,16.66
3,13855327,https://i.discogs.com/oEnudFpMSYGqodm2dqP6iD7eR4RSH8QI_UYk4paNu9U/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzODU1/MzI3LTE1NjI3ODYw/NTQtOTQ4NS5qcGVn.jpeg,
4,1412631,https://i.discogs.com/MIduEvgrABJOc7Cwy5bYQU22XJBxZN1KGWiTthKjU94/rs:fit/g:sm/q:90/h:266/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MTI2/MzEtMTIxNzUzMjU5/OC5qcGVn.jpeg,
5,16101542,https://i.discogs.com/DAYrXv7bX59YVxgPgjEgszDa0kdetH0SBRyVZvgmRU4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MTAx/NTQyLTE2MDM2MzY5/MTMtNjcwNi5qcGVn.jpeg,26.5
6,28476079,https://i.discogs.com/nBcdpCRIzkZdApEA6173V3TnvI7Zus8JYHhg4zqdHbE/rs:fit/g:sm/q:90/h:561/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4NDc2/MDc5LTE2OTYyNjQ3/NDItNjM0NC5qcGVn.jpeg,
7,15551465,https://i.discogs.com/sVsU8HWmBC5YH_mA5pqAiUZs24M940eXal9VwMuesOA/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NTUx/NDY1LTE2MTc4MTYz/MTUtNzczMy5qcGVn.jpeg,
8,27295887,https://i.discogs.com/TVV7pCmZkby3vuqfU0HEBEgtg2d-vb1ySqv4hlSOF80/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3Mjk1/ODg3LTE2ODU5ODE1/MTEtNzU2NS5qcGVn.jpeg,7.5
9,13483456,https://i.discogs.com/ott7w2hnkbfujJ2WAhO_miTGS5uX8M8cuQaTFMFc4Co/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNDgz/NDU2LTE1NTkwNDYz/OTgtNDI0OS5qcGVn.jpeg,17.99
